,credit_rating,debt_to_equity,energy_capacity,esg_rating,region,cash_flow_1,cash_flow_2,cash_flow_3
81,AA,1.3526021015016882,35.108826859805205,93.37471973596672,North America,38570.23201223549,43895.656509190114,46478.2105054619
82,BBB,1.25964247570763,27.018847988479312,92.71286049278547,Europe,43852.078813152824,39868.27208408514,38040.84153459455
83,AAA,2.7735836539199106,37.132287015312585,33.163795754185976,Europe,32587.765431305223,41985.559067408016,51602.221541851075
84,AAA,1.2529260440282473,11.164933450373033,50.27418520020358,Europe,23172.399791345284,29175.48760072213,34136.26549330569
85,AAA,2.904672189862394,5.686820527644787,33.7880051933141,South America,24576.18429002485,35168.39528153179,46172.091590581695
86,AAA,3.281761954012113,3.487178714460652,82.70127466286212,Asia,23497.95407066709,33183.520360231305,45846.31813811556
87,AAA,0.7953393798999944,26.773527995338853,7.541735652444315,Europe,29689.432933901095,24180.802054532214,21416.414987485805
88,AA,2.9457934847511895,50.44884967366896,32.62375035369101,Europe,39515.60863972028,55811.11828466534,73311.7015371552
89,B,1.1874312816049553,6.457562509384315,49.45732238187909,North America,36114.68318587946,45693.80697711079,0.0
90,BB,0.9473406679208611,3.997732197426054,43.38068994701616,Europe,36091.31182898901,44953.91930229674,52817.76884274481
91,CCC,1.9434841140900785,30.68814472542757,24.884966515591135,Europe,57374.321935435444,65111.46315229767,0.0
92,BBB,-0.36452682467637554,42.87441596939615,40.85680887778853,North America,34417.774349921914,35504.13331463671,36892.3507835899
93,AAA,2.0618508115101775,27.178063487497766,26.36352415690324,North America,30748.34976959109,32233.34909507579,32243.32520887001
94,AAA,1.7841220367829593,33.5062996030945,97.75690653408905,Europe,36714.30221229561,44556.88423855959,49804.56881237505
95,AAA,2.0932231676441173,15.52719422614908,64.9408302690483,Europe,27401.390605217475,35568.78545494327,42704.67033492219
96,AAA,1.1920923791967861,19.598738639521894,84.66097366159437,North America,26685.775989479476,29788.178245652714,31037.043521357347
97,AA,0.9430737076783924,21.59116990460163,59.38713328718484,North America,26844.124608445374,26871.632689096754,27050.35733266263
98,AAA,1.2321981380239126,39.48257683542653,89.38264080503168,North America,36689.663192366075,43130.67721630355,47082.535210652626
99,BBB,2.361547826123515,5.3230143161676775,98.55032368507591,Europe,38902.176999799594,54476.466773607906,71987.55094381935
100,AA,1.4260796647619514,11.17893097521986,78.21931938353907,North America,26774.542424257266,33678.20857814328,41350.84157326873
101,B,0.5016763688690615,53.25759358839319,77.3137448340244,North America,46936.076524245625,53577.396620641855,0.0
102,AA,1.3973469240893988,17.498970330548406,45.30462519070399,North America,27343.348097999526,32591.16829053038,36540.38686138987
103,BB,0.3719329787837833,20.99071766591254,18.24381195631053,North America,36176.92385647357,34324.06601361243,33094.901100375144
104,AA,0.21934320168816557,37.895120690868325,70.33193031564359,Europe,32390.873672648613,32014.97254107677,32017.30693881223
105,B,1.3855323192441868,8.046494998997211,72.04279459195611,North America,37933.867050772045,47992.992361131284,0.0
106,BBB,0.4767629247481243,38.97833399738304,81.02959452946544,Europe,43677.96828063313,45845.580593244915,47027.22223629651
107,AAA,2.2282862709623177,32.47190752425507,53.33850525938707,North America,29326.657752219216,35387.13684752047,41534.20426029177
108,BBB,1.8427349662050345,44.49158288548252,23.217861813689233,North America,43468.71284534453,56965.812423232004,70148.61794445179
109,B,1.1451327711319985,54.559101944770724,90.40600563154527,Europe,62312.57652906775,77725.49854778875,0.0
110,AA,1.9288972578385588,12.962100470010663,60.48261996604718,North America,28601.747466277724,37179.31996562065,46283.98636080148
111,BBB,0.7769282769750566,46.74084478792474,75.5463653584842,Europe,43995.8609704021,50204.88155554981,56542.51655101163
112,AA,0.44448013431406685,58.83084821038773,27.334029557529284,North America,34862.60125675504,39958.494194227336,44647.50042643085
113,AA,1.6938945221534685,33.526378505266344,26.361537334450503,Asia,36397.2346179288,43053.33987826514,46790.898681260864
114,A,1.2899018152940396,55.48222287106517,65.36076558706101,Asia,43797.14686756018,55124.73888901807,67790.911873639
115,AA,0.39663347376483704,30.721980848622028,17.4467966442031,Europe,33217.62082226437,30824.995333033043,28585.548940856534
116,BBB,1.9287985782537547,23.5745861850248,31.850150011772705,North America,38029.52321438494,42471.2348344453,45658.39082271875
117,BBB,1.6375315033901598,53.75938756031013,30.6443428833707,Europe,48212.13596826056,62931.755820852784,79587.54451435273
118,AAA,0.41472653002408666,16.72447072052386,28.056126364096002,Europe,22687.967920513143,23520.21862685295,24070.495545993756
119,AAA,1.7974844463556225,61.550406767467095,31.397806380493044,North America,35341.29068738376,49305.40562007809,62649.60811029477
120,B,0.8486852086595698,27.515094960356045,17.176291279187396,Asia,53927.49522697231,48166.33795797789,0.0
121,CCC,2.5055218575473797,26.827139234741548,78.98980366852567,South America,65833.09030102006,68701.3571405264,0.0
122,AAA,1.5499283595569153,18.87855831261448,76.95222929060009,North America,27675.775351485423,33190.64440581125,36535.43815972336
123,BB,1.9878513943560492,2.461108470601792,58.41648714725306,Europe,41036.72303161005,57118.08103432279,75102.61538104778
124,BBB,1.7988091645781388,11.975688882998824,25.617005627435486,Asia,43569.16039523276,57287.283471280745,70601.27875624504
125,AAA,1.971731400671462,27.34685934438342,33.150592495202105,Europe,29460.104826275925,31492.110991652436,31564.372745096895
126,BBB,0.624017651807476,51.225510020400456,71.43437727570765,Asia,46972.2245613926,53687.5944660199,59333.0235612757
127,A,1.8659372208080696,18.923593914366794,2.850190821311338,North America,37113.949069879345,45215.565818537245,52369.918084605735
128,AAA,2.5667404114369146,18.702140310940806,56.35414618035745,North America,27722.561649232488,35097.770694441235,42424.78739664006
129,AAA,1.1880053295488529,43.75534988032824,89.0667581914642,Asia,35915.24212601913,43268.48728214082,47380.39838809863
130,AAA,1.5463968472017489,2.687473794539509,56.30137968696393,North America,20786.227198216526,27931.446005975013,35813.642596408834
131,AA,0.9008605035129815,7.2287336863222516,70.79241852743463,Europe,25023.90515799399,29894.023459147636,34749.928674409864
132,BB,1.261416241235798,8.289124741991294,1.961020360826049,North America,35831.5621238358,45312.389523482896,54191.23849037128
133,B,1.2755621563381545,50.40688559113769,16.11824268759866,North America,51389.5983446573,64559.70046079748,0.0
134,AA,0.6501130003073121,31.418586123631464,60.94867637915614,Asia,30443.695589807896,29244.56920252393,29164.63055735039
135,B,0.9892101978113657,59.641074603200764,4.51670475035042,North America,57621.8930972491,71282.55905470828,0.0
136,BB,1.7415704596101604,14.375490671270102,28.924462963647933,Europe,44265.21283659397,55883.66468196099,67019.99215458379
137,AAA,1.1843736456198057,16.54819545616363,39.388780374253315,North America,24654.142448909748,27812.940561250016,30082.132614529797
138,A,1.260522423394958,10.08897812744977,29.218133607022555,Europe,31876.88239629766,40453.00283639348,46394.67298617903
139,AA,1.0967622309684844,19.201513945725853,96.93037668885219,North America,31817.239606295796,34901.82880462373,37143.68029104685
140,AAA,1.2676265997947895,27.350183217452507,11.58815203152075,North America,30946.608644139917,28936.244459519,27521.858444360474
141,CCC,-0.4422676239177781,33.08488238663528,87.29605510943362,Europe,54720.762459954836,50745.77059958083,0.0
142,AAA,3.016567534304911,27.352310228703363,42.51413138237048,Europe,30293.099573921438,32667.756636176353,35269.19158216063
143,AA,1.6099708809176296,9.340680589648768,83.58939763920755,Europe,28974.40772411258,39273.00144982847,48278.40992244481
144,BB,0.1911594627166111,35.6734132094224,53.83121983401288,North America,36050.75159404081,34881.15337250667,34830.587575169695
145,B,0.21892296261033195,40.27508401738102,71.296679821817,North America,42394.29331447906,43842.43059300105,0.0
146,BB,1.5717266339811924,23.59304312997508,76.65473102259763,North America,42397.35553707425,45190.750919284656,46854.51123416445
147,B,0.16872772194900554,36.0783458679794,21.511613983452282,Europe,49478.767745608915,48692.90479943029,0.0
148,AA,2.575575385951988,31.101284218664816,37.0856453194005,North America,34463.805567961404,40863.6177469266,46785.469233790805
149,AAA,1.4771605831006271,56.41812334513847,31.952401680510935,Europe,33288.279317398694,43928.08435662838,53794.81106100939
150,AAA,1.229292116198625,17.929989474357455,44.013089245630475,Asia,23225.560691163537,28201.8785757132,30752.1276469204
151,CCC,2.546665423085888,19.075310736125438,58.6948316913158,North America,45515.24228560866,57753.73639345668,0.0
152,BB,1.328204706944761,20.58234096548792,37.11019857415676,Europe,43359.43788785966,48583.49035517837,51063.45746287892
153,BB,-0.607675843200689,11.676250253750236,53.08787586719678,North America,29987.277796315495,32052.039995048828,34267.53161638895
154,BB,0.8136874902964958,13.953506749047193,34.80862026748316,North America,33771.658873009124,38698.8500302309,41354.36428325689
155,AAA,1.8643694862648261,44.53460060171682,75.82519171537483,North America,35317.2544406841,46754.777314157196,57772.20493818144
156,B,0.8738414678097409,23.99025242453545,22.86753203000832,North America,41295.71847896337,38466.97867335928,0.0
157,B,1.2457471392410036,32.947330055919814,47.15032076981266,North America,41292.03217517551,45014.59069500391,0.0
158,AA,1.2573079159702385,27.381968185034893,64.57507609359084,North America,30663.454833959637,28304.33000899662,26994.676389134533
159,B,1.5182148089604892,51.80928948657528,58.560331277156706,Asia,57005.61527787742,74657.66440001281,0.0
160,AAA,1.0139398856328699,34.466534048312006,54.46551485099616,Asia,27251.997435679183,28620.331377375813,29501.55786725303
161,AAA,0.0106381160438489,16.205791816712782,18.820750350766367,North America,21760.265993773573,22128.97391439181,22515.10369607506
162,AA,1.54507755951037,10.502763377021115,25.271276151422985,Asia,30601.43553418895,39062.01705338855,47190.66361550811
163,AAA,-0.04572857362582772,42.20801381868212,36.297339308683085,Europe,25734.195601085787,26480.52483177414,26255.98988921229
164,A,1.4104964591595035,16.93568504834473,23.59877627240856,North America,32826.8944564728,39104.66360007724,43830.321987249
165,BB,1.1556630438318838,30.684510251902864,59.23172103720245,Europe,45512.47890360669,44639.66079391371,45985.61745760277
166,BB,1.25974715744678,12.833523870797714,46.53982384180861,Asia,45471.52830058691,54900.200295089286,62119.63844611222
167,AA,1.8804078114495186,27.97926274550015,76.90557073490412,Europe,34768.11299328658,38032.09048031847,39929.73634497201
168,B,0.6820318917031034,45.71362756463494,3.746537688568763,North America,51978.84627555781,58913.428125807026,0.0
169,AAA,0.9316574380737725,34.564936794458525,88.32275663186999,Europe,31357.778717145095,32229.583812009358,34896.769597749284
170,A,2.3611308561432214,70.2551914432041,76.65662552086262,Europe,49624.25663117582,71092.82432418197,96266.71974520366
171,AAA,0.7433082012848087,12.218952766487789,15.440671088769752,South America,23079.710386475374,26746.43918064893,29600.271800541053
172,A,1.4773099977706858,7.101793865645349,62.426275101712505,Asia,33548.01359574939,42091.07936247806,53154.867899582896
173,B,1.901032265067831,41.33528678260336,31.814822591038126,Europe,54578.69931460947,70666.42349680424,0.0
174,AAA,2.223245932024751,6.131494698144306,63.9980970945768,Asia,23892.118307227523,34799.61252557482,43913.90347310684
175,B,1.5917042378868487,29.06839620130521,43.69611691395857,North America,42796.96195661941,44406.79859245702,0.0
176,CCC,2.7836972215207605,34.54425661371835,95.04271447159121,North America,56176.00662062801,70820.84252908963,0.0
177,AAA,1.0127550186189158,9.472481513806517,86.4379608362673,North America,22532.480555167633,26131.510647045503,30221.06306200164
178,BBB,0.9814084422602456,15.778843280947541,64.87414335435486,Europe,36848.17558498755,42403.3032396061,46582.34171884676
179,AAA,1.6717890558540414,12.176865984886131,66.67220817935946,South America,23275.010624795348,31094.44685953293,37244.70420133084
180,A,0.6595767068599445,34.387105849876775,86.425227792912,Europe,39735.573273092574,38934.22176211171,39297.811843264004
181,A,1.6313478359094977,35.67393687307535,9.856892073715029,North America,41680.61145915139,49539.342270636786,56471.15510344444
182,AAA,-0.3325766090919253,71.79548573116288,20.805283831470835,North America,34824.192665791415,39627.31839871141,43475.56314417917
183,AAA,-0.31343507720797303,78.11103745421151,71.87360802554431,Asia,33768.21003615413,39396.001194479715,42531.59973720028
184,BBB,2.5928513883586826,42.5057921899923,31.534480160663247,North America,42729.12689604634,57520.22198977022,72705.58050136421
185,B,1.9567439920481031,11.42560014278549,95.90901833408671,South America,55267.58100925655,74831.80680146143,0.0
186,BB,-0.1005708017789797,12.747002848332917,86.2161064608702,Europe,39092.85626312493,40736.79092679984,42034.14973302109
187,AA,1.289677149292766,80.04118911449827,11.419804164796021,Europe,49551.10328629829,65608.62959812644,80503.18367754793
188,AA,1.1570381219451356,47.86495197191748,33.296127267699646,Europe,35175.017060192855,42637.743651903074,49772.32808208591
189,BBB,0.268867552376189,11.74618341594907,11.561069481300802,North America,30685.181479764487,33461.53470010044,35641.85041919565
190,BB,0.8239492128768475,2.0970436256418123,37.47243594318902,North America,29779.865478459156,36146.61699497035,41824.21034051255
191,A,0.10044783710255967,55.619885312598306,98.72500435467535,Asia,51637.09624296405,57853.17591240693,62949.34519422216
192,AA,1.111079692456766,14.45727967942339,40.26684176232009,North America,26536.248375439744,30768.422955531623,34633.60576234712
193,AAA,0.3518407963923783,48.976270650766644,9.367603322982276,Europe,34379.956153436644,38061.185079425086,41825.8809669344
194,BBB,1.7583616044978583,33.97313571363781,15.971783486350265,Europe,47353.23529197287,56208.30205344073,64148.358498860885
195,AAA,1.8696360245780306,48.244705915312124,95.48836402496472,North America,42099.226904602176,56350.542331260796,71349.56119961645
196,B,1.4611514248562487,26.28167450351696,40.184419274193615,North America,41889.21221267973,38627.29999345755,0.0
197,BBB,1.9362647481492457,13.174558425719901,60.08740292147342,Asia,42398.14199877065,56265.688669998446,71433.04543181093
198,AA,1.9165030115616393,14.949717834030457,12.956485419264608,North America,31444.340253206206,40201.97323675253,48652.970153402246
199,AA,1.3464740421994925,17.849774197557302,68.51261093174283,North America,28512.649735881234,33404.71122357166,37663.15415205226
200,BB,1.0048724803699658,35.98888963737652,5.128593805216042,North America,46034.144994591574,50251.06395234699,53356.3082564223
201,BB,1.9936512635661865,31.634482038751756,54.340801593625685,Europe,47137.30512101432,56185.692652354424,63897.99901284317
202,AA,2.4831298025538096,28.85324884906308,49.865614524222515,Europe,35165.888619475096,39675.93759780856,43108.46443527693
203,AAA,2.2225973166094852,43.28490381506288,35.28699170740255,Europe,33327.727148757265,45744.46215042676,57146.70229024026
204,AA,0.16112397610455131,31.76854116579117,5.135771654414045,Europe,34770.59765055007,31623.5466948528,30739.824981252234
205,A,0.179676120130688,55.0297589244878,86.20948581028841,Europe,44289.710343189465,49555.67925876598,53328.12968732046
206,B,1.78504626299878,33.25929367732225,79.22139008903171,Europe,54285.59740060084,64078.139106767965,0.0
207,A,1.7359668107874113,35.90791508127819,83.89513093942841,Europe,42188.78956951213,51495.7905350702,58956.881377640915
208,AA,-0.068577584888311,11.366806619831998,90.82722543834767,North America,23353.029254081383,25655.77830538513,28459.474870205664
209,AAA,1.3719349380333912,10.193625152805884,61.17743119967247,North America,23094.954926613438,29481.308643433204,34828.0620422845
210,BB,1.829315904353825,25.463304663313423,91.93685129918653,Asia,55680.45604948451,58576.35132218302,59357.03121381879
211,AA,0.7164325054561267,46.15546960861115,56.183103292087054,Europe,31479.803001689826,36496.15264019811,38775.33285689139
212,AA,2.7166072399111054,21.93214364139699,18.205636641831724,Asia,37203.34127397753,45261.74430550211,52441.059551196726
213,B,2.2766180570708943,37.54496684512871,63.25448725173833,Asia,57693.72206919951,74213.5530614109,0.0
214,AA,1.8884638865318526,60.48425858996285,36.50876615248462,North America,36316.65647630204,50276.65022829619,64940.61891700262
215,A,0.6162595694377995,9.443180699401,70.33579205338833,North America,26019.417024417562,30262.61225331158,33698.45020848097
216,AA,1.9113144131321704,14.763188803480254,82.18001923628023,North America,31255.79121561107,39965.7993382165,48708.36873467117
217,AA,2.863597436564846,15.150517118869535,34.249667364423175,Asia,34121.86946782264,45681.31842678596,57313.52094124915
218,AA,0.7191237273382449,38.98189764148195,50.00299846403594,Europe,31346.071077130277,32588.331059773387,35034.26962574679
219,AA,0.767197348377508,18.613136452037956,68.3512207382746,Europe,28474.6026538928,30337.720822122978,30232.221736202486
220,AA,0.3524599527657035,40.30889086853805,75.92291124789105,North America,31987.237934430414,33690.12508752415,34473.362037059684
221,B,0.7611587408431915,23.71133758221096,15.125847718421692,Europe,49843.01288459009,45674.42584612436,0.0
222,CCC,1.835282047711702,18.961596863021562,77.59185352950712,Europe,54951.777262797594,66700.39502946782,0.0
223,AAA,1.0088176382466454,34.75516621811531,8.233820623339527,Europe,32652.41247745304,35140.6043872729,37434.335270443116
224,AA,0.49878165913840755,72.17065277082484,36.212584613592014,North America,33785.742294417876,39423.45141540249,43916.883234520166
225,AA,1.7396756429110836,25.249660423553376,76.88553486300013,North America,31540.491399508657,32692.167542202544,34055.182251509614
226,AAA,1.2728750299211402,30.84625008310031,13.436246513768769,North America,32289.17674909989,33417.41659658153,34163.771267447584
227,B,1.5107743168831003,14.863665686745092,19.888467884433105,Europe,48235.57050912017,59548.7422269205,0.0
228,CCC,0.9556719544618787,3.20083986701109,68.28091116452724,Asia,49085.66709537891,60751.395622820026,0.0
229,AAA,0.8307072830639368,18.972029651029494,63.949186539749235,Europe,22891.692638025903,24905.85736878549,25416.505179920223
230,AA,1.1602626749749285,32.42647345621729,79.28534119055524,Europe,33629.3066165739,36024.84468070576,37395.99763244123
231,AAA,0.9869992554692082,12.238930493843299,38.83998444775105,Asia,20997.603472710198,24779.4953217271,27558.91369742172
232,B,0.8589779537834432,5.934395603595387,94.52579858729888,Europe,42718.06255289077,51871.06654618951,0.0
233,AAA,1.4935290818687545,6.265468022593657,92.58734045381688,Asia,24077.49113867757,30469.059722780672,38053.47920765513
234,A,1.889125975846203,13.623383749377597,85.63724005205043,North America,34681.46150556222,45007.67026352984,54617.17651353417
235,AA,0.7564637887918042,10.230883759328181,3.3663545572321207,Europe,27149.34141283697,31223.072651846323,34352.975992959146
236,AAA,1.083555990139401,54.290041021870806,75.06806830479242,North America,33788.26542027348,42048.87800100499,49497.50553970742
237,BBB,1.5512974654369307,12.863334199095148,2.7474842011898093,Europe,39953.06793387097,50294.907772011786,60535.754775890135
238,A,1.0507555536017383,48.2219885797697,44.55010489519078,Europe,37411.55925822468,45200.20447511811,51329.20739212739
239,A,2.195342591270457,22.241035123253937,98.19420135808912,Europe,41461.36874613293,48848.409721576914,55631.84439642104
240,AAA,2.2324365459940427,40.946687545653305,19.079566579681075,South America,36774.28453552406,48947.88860649454,61024.34631041798
241,BBB,1.9054058605313609,14.093355206636929,57.874973666012295,North America,34817.31215459152,44871.956845153574,54524.01123189414
242,AA,0.8749800319631178,28.65475995151266,41.89482544125775,North America,28097.28448194886,25363.3476448651,24352.478281216238
243,BB,1.0064105552650484,23.928435374085602,90.61450388666258,North America,42240.173204875275,39439.359074317756,38827.20371844934
